alternative_names,frequency_female,frequency_male,name
AABRAO|ABRAHAO|ABRAO|ABRHAO|ABRRAO|ADRAAO|ADRAO|HABRAAO|HABRAO,111,21061,ABRAAO
ABAAO|ABAO,292,121982,ADAO
AADRIANO|ABRIANO|ADRIANNO|ADRYANO,2730,335585,ADRIANO
AILANA|ALANAH|ALANNA|ALANNAH|AYLANA|AYLANNA|EILANA|ELANA|ELANNA|EULANA|HAILANA|HALANA|HALANNA|HAYLANA|HELANA|HILANA|HILANNA|HOLANA|HYLANA|IALANA|ILANA|ILANNA|ILHANA|IOLANA|IULANA|LAANA|LAHANA|LAHANNA|LANA|LANAH|LANNA|LHANA|OLANA|UILANA|ULANA|YALANA|YLANA|YLANNA|YOLANA,67615,360,ALANA
ALDERTO|ELBERTO|HALBERTO|HELBERTO|HILBERTO|HULBERTO|ILBERTO|LBERTO|OLBERTO|ULBERTO,341,108018,ALBERTO
,140,57217,ALFREDO
,266,65444,ALVARO
AANA|ANAA|ANAH|ANAR|ANNA|ANNAH|HANA|HANAH|HANNA|HANNAH|HANNHA,3079729,10129,ANA
AANDERSON|ANDERRSON|ANDERSOM|ANDERSONN|ANDERZON|ANDHERSON|ANNDERSON|HANDERSOM|HANDERSON,2473,470777,ANDERSON
ANGEOLINA|ANGILINA|ANGIOLINA|ANGLINA|ANJELINA,46649,154,ANGELINA
ANGILO|ANGLO|ANJELO,473,78108,ANGELO
AANTONIO|ANNTONIO|ANTHONIO|ANTONHIO|ANTONIHO|ANTONIIO|ANTONIOR|ANTONNIO,8854,2567494,ANTONIO
AQUELES,63,6133,AQUILES
ARHTUR|ARTHU|ARTU|ARTUH|ARTUR|HARTHUR|HARTU|HARTUR,986,125788,ARTHUR
BERNNARDO,348,56545,BERNARDO
BHIANCA|BIANKA|BIANNCA|BYANCA|BYANKA|DIANCA,232855,860,BIANCA
BRUNAH|BRUNNA|DRUNA,460770,2778,BRUNA
CAMILLA|KAMILLA|KAMYLLA,466,,CAMYLLA
CARLOZ|CARRLOS|KARLOS,6070,1483121,CARLOS
CARALINA|CARILINA|CARLINA|CARLINHA|CAROLINNA|CAROLYNA|CARROLINA|CARULINA|KARLINA|KAROLINA|KAROLINNA|KAROLYNA|KARULINA,190497,724,CAROLINA
CONCICAO,102585,1537,CONCEICAO
CRHISTIANO|CRISTHIANO|CRISTIANNO|CRIZTIANO|CRYSTIANO|KRISTIANO,1507,194300,CRISTIANO
DAVIH|DAVII|DAVIR|DAVY|DHAVI|DHAVY,1888,254088,DAVI
DHIEGO|DHYEGO|DIEGHO|DIHEGO|DIIEGO|DYEGO|DYHEGO,2455,421973,DIEGO
DOMINGUOS,329,125252,DOMINGOS
,,454,DORNELES
AEDUARDO|EDUARDOR|HEDUARDO,4125,628539,EDUARDO
